fixture_id,label,date,round,home_team,away_team
1489369,Mexico vs South Africa,2026-06-11 19:00:00+00:00,Group Stage - 1,Mexico,South Africa
1538999,South Korea vs Czech Republic,2026-06-12 02:00:00+00:00,Group Stage - 1,South Korea,Czech Republic
1539000,Canada vs Bosnia & Herzegovina,2026-06-12 19:00:00+00:00,Group Stage - 1,Canada,Bosnia & Herzegovina
1489370,USA vs Paraguay,2026-06-13 01:00:00+00:00,Group Stage - 1,USA,Paraguay
1489373,Qatar vs Switzerland,2026-06-13 19:00:00+00:00,Group Stage - 1,Qatar,Switzerland
1489371,Brazil vs Morocco,2026-06-13 22:00:00+00:00,Group Stage - 1,Brazil,Morocco
1489372,Haiti vs Scotland,2026-06-14 01:00:00+00:00,Group Stage - 1,Haiti,Scotland
1539001,Australia vs Türkiye,2026-06-14 04:00:00+00:00,Group Stage - 1,Australia,Türkiye
1489374,Germany vs Curaçao,2026-06-14 17:00:00+00:00,Group Stage - 1,Germany,Curaçao
1489376,Netherlands vs Japan,2026-06-14 20:00:00+00:00,Group Stage - 1,Netherlands,Japan
1489375,Ivory Coast vs Ecuador,2026-06-14 23:00:00+00:00,Group Stage - 1,Ivory Coast,Ecuador
1539002,Sweden vs Tunisia,2026-06-15 02:00:00+00:00,Group Stage - 1,Sweden,Tunisia
1489380,Spain vs Cape Verde Islands,2026-06-15 16:00:00+00:00,Group Stage - 1,Spain,Cape Verde Islands
1489377,Belgium vs Egypt,2026-06-15 19:00:00+00:00,Group Stage - 1,Belgium,Egypt
1489379,Saudi Arabia vs Uruguay,2026-06-15 22:00:00+00:00,Group Stage - 1,Saudi Arabia,Uruguay
1489378,Iran vs New Zealand,2026-06-16 01:00:00+00:00,Group Stage - 1,Iran,New Zealand
1489383,France vs Senegal,2026-06-16 19:00:00+00:00,Group Stage - 1,France,Senegal
1539016,Iraq vs Norway,2026-06-16 22:00:00+00:00,Group Stage - 1,Iraq,Norway
1489381,Argentina vs Algeria,2026-06-17 01:00:00+00:00,Group Stage - 1,Argentina,Algeria
1489382,Austria vs Jordan,2026-06-17 04:00:00+00:00,Group Stage - 1,Austria,Jordan
1539003,Portugal vs Congo DR,2026-06-17 17:00:00+00:00,Group Stage - 1,Portugal,Congo DR
1489384,England vs Croatia,2026-06-17 20:00:00+00:00,Group Stage - 1,England,Croatia
1489385,Ghana vs Panama,2026-06-17 23:00:00+00:00,Group Stage - 1,Ghana,Panama
1489386,Uzbekistan vs Colombia,2026-06-18 02:00:00+00:00,Group Stage - 1,Uzbekistan,Colombia
1539004,Czechia vs South Africa,2026-06-18 16:00:00+00:00,Group Stage - 2,Czechia,South Africa
1539005,Switzerland vs Bosnia & Herzegovina,2026-06-18 19:00:00+00:00,Group Stage - 2,Switzerland,Bosnia & Herzegovina
1489387,Canada vs Qatar,2026-06-18 22:00:00+00:00,Group Stage - 2,Canada,Qatar
1489388,Mexico vs South Korea,2026-06-19 01:00:00+00:00,Group Stage - 2,Mexico,South Korea
1489391,USA vs Australia,2026-06-19 19:00:00+00:00,Group Stage - 2,USA,Australia
1489390,Scotland vs Morocco,2026-06-19 22:00:00+00:00,Group Stage - 2,Scotland,Morocco
1489389,Brazil vs Haiti,2026-06-20 00:30:00+00:00,Group Stage - 2,Brazil,Haiti
1539006,Türkiye vs Paraguay,2026-06-20 03:00:00+00:00,Group Stage - 2,Türkiye,Paraguay
1539007,Netherlands vs Sweden,2026-06-20 17:00:00+00:00,Group Stage - 2,Netherlands,Sweden
1489393,Germany vs Ivory Coast,2026-06-20 20:00:00+00:00,Group Stage - 2,Germany,Ivory Coast
1489392,Ecuador vs Curaçao,2026-06-21 00:00:00+00:00,Group Stage - 2,Ecuador,Curaçao
1489394,Tunisia vs Japan,2026-06-21 04:00:00+00:00,Group Stage - 2,Tunisia,Japan
1489397,Spain vs Saudi Arabia,2026-06-21 16:00:00+00:00,Group Stage - 2,Spain,Saudi Arabia
1489395,Belgium vs Iran,2026-06-21 19:00:00+00:00,Group Stage - 2,Belgium,Iran
1489398,Uruguay vs Cape Verde Islands,2026-06-21 22:00:00+00:00,Group Stage - 2,Uruguay,Cape Verde Islands
1489396,New Zealand vs Egypt,2026-06-22 01:00:00+00:00,Group Stage - 2,New Zealand,Egypt
1489399,Argentina vs Austria,2026-06-22 17:00:00+00:00,Group Stage - 2,Argentina,Austria
1539017,France vs Iraq,2026-06-22 21:00:00+00:00,Group Stage - 2,France,Iraq
1489401,Norway vs Senegal,2026-06-23 00:00:00+00:00,Group Stage - 2,Norway,Senegal
1489400,Jordan vs Algeria,2026-06-23 03:00:00+00:00,Group Stage - 2,Jordan,Algeria
