team_id,team_name,matches,goals_for,goals_against,avg_possession,shots,shots_on,fouls,xg_for,conversion_pct,xg_against,finishing,xg_diff,ppda
6,Brazil,1,1,1,54.0,12.0,4.0,15.0,1.24,25.0,1.28,-0.24,-0.04,10.54
15,Switzerland,1,1,1,68.0,26.0,7.0,11.0,3.24,14.3,0.76,-2.24,2.48,10.58
16,Mexico,1,2,0,61.0,16.0,4.0,12.0,1.41,50.0,0.07,0.59,1.34,11.17
17,South Korea,1,2,1,62.0,15.0,6.0,9.0,2.0,33.3,0.84,0.0,1.16,11.96
20,Australia,1,2,0,28.0,9.0,4.0,12.0,0.77,50.0,1.33,1.23,-0.56,20.79
31,Morocco,1,1,1,46.0,12.0,2.0,14.0,1.28,50.0,1.24,-0.28,0.04,12.22
770,Czech Republic,1,1,2,38.0,8.0,4.0,16.0,0.84,25.0,2.0,0.16,-1.16,16.94
777,Türkiye,1,0,2,72.0,30.0,8.0,4.0,1.33,0.0,0.77,-1.33,0.56,13.5
1108,Scotland,1,1,0,46.0,9.0,2.0,21.0,1.07,50.0,1.21,-0.07,-0.14,11.05
1113,Bosnia & Herzegovina,1,1,1,39.0,8.0,3.0,20.0,0.98,33.3,1.25,0.02,-0.27,8.14
1531,South Africa,1,0,2,39.0,3.0,2.0,11.0,0.07,0.0,1.41,-0.07,-1.34,16.25
1569,Qatar,1,1,1,32.0,7.0,4.0,12.0,0.76,25.0,3.24,0.24,-2.48,16.43
2380,Paraguay,1,1,4,35.0,9.0,1.0,17.0,0.51,100.0,1.27,0.49,-0.76,12.42
2384,USA,1,4,1,65.0,16.0,6.0,13.0,1.27,66.7,0.51,2.73,0.76,10.32
2386,Haiti,1,0,1,54.0,15.0,2.0,23.0,1.21,0.0,1.07,-1.21,0.14,9.1
5529,Canada,1,1,1,61.0,13.0,4.0,10.0,1.25,25.0,0.98,-0.25,0.27,7.5
