matchday,team_id,team_name,matches,goals_for,goals_against,avg_possession,shots,shots_on,fouls,xg_for,conversion_pct,xg_against,finishing,xg_diff,ppda
2,1,Belgium,1,0,0,70.0,23.0,7.0,7.0,1.8,0.0,0.63,-1.8,1.17,12.76
2,5,Sweden,1,1,5,49.0,16.0,8.0,12.0,0.98,12.5,2.47,0.02,-1.49,12.16
2,6,Brazil,1,3,0,57.0,8.0,5.0,13.0,1.5,60.0,0.25,1.5,1.25,8.87
2,7,Uruguay,1,2,2,66.0,16.0,2.0,8.0,2.28,100.0,0.77,-0.28,1.51,8.53
2,9,Spain,1,4,0,67.0,22.0,8.0,10.0,2.85,50.0,0.14,1.15,2.71,10.4
2,12,Japan,1,4,0,62.0,11.0,5.0,15.0,2.07,80.0,0.05,1.93,2.02,9.05
2,13,Senegal,1,2,3,58.0,16.0,4.0,5.0,1.7,50.0,2.1,0.3,-0.4,11.73
2,15,Switzerland,1,4,1,62.0,13.0,7.0,7.0,2.01,57.1,0.24,1.99,1.77,11.77
2,16,Mexico,1,1,0,42.0,8.0,4.0,9.0,0.48,25.0,0.69,0.52,-0.21,19.97
2,17,South Korea,1,0,1,58.0,9.0,2.0,7.0,0.69,0.0,0.48,-0.69,0.21,14.3
2,20,Australia,1,0,2,38.0,5.0,2.0,16.0,0.44,0.0,1.3,-0.44,-0.86,15.41
2,22,Iran,1,0,0,30.0,7.0,3.0,9.0,0.63,0.0,1.8,-0.63,-1.17,15.17
2,23,Saudi Arabia,1,0,4,33.0,3.0,1.0,2.0,0.14,0.0,2.85,-0.14,-2.71,25.0
2,25,Germany,1,2,1,60.0,16.0,7.0,5.0,1.84,28.6,1.23,0.16,0.61,11.35
2,26,Argentina,1,2,0,54.0,12.0,5.0,13.0,2.65,40.0,0.5,-0.65,2.15,11.14
2,28,Tunisia,1,0,4,38.0,2.0,0.0,8.0,0.05,,2.07,-0.05,-2.02,14.53
2,31,Morocco,1,1,0,59.0,12.0,2.0,8.0,0.95,50.0,0.54,0.05,0.41,19.74
2,32,Egypt,1,3,1,56.0,19.0,7.0,8.0,1.96,42.9,1.12,1.04,0.84,13.55
2,770,Czechia,1,1,1,38.0,14.0,3.0,12.0,1.02,33.3,1.37,-0.02,-0.35,17.06
2,775,Austria,1,0,2,46.0,6.0,1.0,13.0,0.5,0.0,2.65,-0.5,-2.15,15.36
2,777,Türkiye,1,0,1,79.0,32.0,5.0,14.0,2.1,0.0,0.32,-2.1,1.78,4.78
2,1090,Norway,1,3,2,42.0,13.0,7.0,13.0,2.1,42.9,1.7,0.9,0.4,14.76
2,1108,Scotland,1,0,1,41.0,6.0,0.0,10.0,0.54,,0.95,-0.54,-0.41,17.21
2,1113,Bosnia & Herzegovina,1,1,4,38.0,5.0,3.0,18.0,0.24,33.3,2.01,0.76,-1.77,13.65
2,1118,Netherlands,1,5,1,51.0,10.0,7.0,9.0,2.47,71.4,0.98,2.53,1.49,13.25
2,1501,Ivory Coast,1,1,2,40.0,9.0,2.0,7.0,1.23,50.0,1.84,-0.23,-0.61,15.45
2,1531,South Africa,1,1,1,62.0,17.0,4.0,10.0,1.37,25.0,1.02,-0.37,0.35,8.47
2,1532,Algeria,1,2,1,72.0,17.0,8.0,6.0,1.81,25.0,0.65,0.19,1.16,6.12
2,1533,Cape Verde Islands,1,2,2,34.0,7.0,2.0,4.0,0.77,100.0,2.28,1.23,-1.51,16.47
2,1548,Jordan,1,1,2,28.0,8.0,4.0,11.0,0.65,25.0,1.81,0.35,-1.16,14.5
2,1569,Qatar,1,0,6,21.0,2.0,0.0,10.0,0.18,,4.11,-0.18,-3.93,15.33
2,2380,Paraguay,1,1,0,21.0,7.0,2.0,15.0,0.32,50.0,2.1,0.68,-1.78,12.86
2,2382,Ecuador,1,0,0,75.0,28.0,15.0,7.0,3.06,0.0,0.48,-3.06,2.58,6.76
2,2384,USA,1,2,0,62.0,10.0,2.0,12.0,1.3,100.0,0.44,0.7,0.86,5.7
2,2386,Haiti,1,0,3,43.0,8.0,3.0,15.0,0.25,0.0,1.5,-0.25,-1.25,13.05
2,4673,New Zealand,1,1,3,44.0,11.0,5.0,14.0,1.12,20.0,1.96,-0.12,-0.84,17.6
2,5529,Canada,1,6,0,79.0,30.0,10.0,8.0,4.11,60.0,0.18,1.89,3.93,7.04
2,5530,Curaçao,1,0,0,25.0,10.0,3.0,10.0,0.48,0.0,3.06,-0.48,-2.58,18.31
